      number,        time
         400,     0.038060
         440,     0.049586
         480,     0.064386
         520,     0.080648
         560,     0.099802
         600,     0.121450
         640,     0.146754
         680,     0.175376
         720,     0.207257
         760,     0.243006
         800,     0.282687
         840,     0.327848
         880,     0.374935
         920,     0.427356
         960,     0.486321
        1000,     0.549114
        1040,     0.616463
        1080,     0.691017
        1120,     0.771178
        1160,     0.857003
        1200,     0.943959
        1240,     1.044766
        1280,     1.145216
        1320,     1.261458
        1360,     1.369303
        1400,     1.502165
        1440,     1.625333
        1480,     1.763715
        1520,     1.908657
        1560,     2.054512
        1600,     2.195818
