      number,        time
         400,     0.037855
         440,     0.048907
         480,     0.064016
         520,     0.080349
         560,     0.098932
         600,     0.122176
         640,     0.147815
         680,     0.175081
         720,     0.207642
         760,     0.243793
         800,     0.283417
         840,     0.326248
         880,     0.374978
         920,     0.428178
         960,     0.485000
        1000,     0.548394
        1040,     0.616217
        1080,     0.690056
        1120,     0.769231
        1160,     0.853138
        1200,     0.944048
        1240,     1.040770
        1280,     1.145423
        1320,     1.253605
        1360,     1.368822
        1400,     1.492232
        1440,     1.623579
        1480,     1.761437
        1520,     1.906583
        1560,     2.053595
        1600,     2.194242
