      number,        time
         400,     0.793830
         440,     1.100843
         480,     1.387628
         520,     1.734444
         560,     2.327594
         600,     2.694320
         640,     3.750074
         680,     3.763228
         720,     4.520054
         760,     5.254170
         800,     6.111427
         840,     6.976975
         880,     8.081624
         920,     9.474364
         960,    13.272967
        1000,    11.785552
        1040,    13.407200
        1080,    15.041293
        1120,    20.117409
        1160,    17.536848
        1200,    19.922344
        1240,    21.901136
        1280,    31.797333
        1320,    26.996840
        1360,    30.691727
        1400,    32.591408
        1440,    46.655342
        1480,    38.940609
        1520,    46.322227
        1560,    48.172684
        1600,    59.533485
