      number,        time
         400,     0.784020
         440,     1.059975
         480,     1.438630
         520,     1.815934
         560,     2.266835
         600,     2.720769
         640,     4.016441
         680,     3.766906
         720,     4.926681
         760,     6.318271
         800,     7.902526
         840,     8.914353
         880,     9.314900
         920,     9.222289
         960,    13.155665
        1000,    11.605030
        1040,    13.073370
        1080,    15.845892
        1120,    21.334911
        1160,    17.525974
        1200,    19.785299
        1240,    21.758495
        1280,    30.322006
        1320,    26.380280
        1360,    28.734921
        1400,    31.338703
        1440,    43.456547
        1480,    36.867306
        1520,    40.196201
        1560,    44.029831
        1600,    58.664642
