      number,        time
         400,     0.103174
         440,     0.136442
         480,     0.234095
         520,     0.223113
         560,     0.393905
         600,     0.342101
         640,     0.619681
         680,     0.715439
         720,     0.746585
         760,     1.012519
         800,     1.141683
         840,     1.336418
         880,     1.448685
         920,     1.772576
         960,     2.403992
        1000,     2.283128
        1040,     2.439231
        1080,     2.731387
        1120,     2.750867
        1160,     3.052888
        1200,     3.632585
        1240,     4.103449
        1280,     5.828964
        1320,     4.969446
        1360,     5.068272
        1400,     5.804671
        1440,     7.420782
        1480,     6.767657
        1520,     7.144397
        1560,     8.065341
        1600,    10.295949
