      number,        time
         400,     0.127111
         440,     0.137555
         480,     0.210232
         520,     0.289584
         560,     0.375839
         600,     0.460883
         640,     0.664266
         680,     0.673182
         720,     0.799753
         760,     0.941392
         800,     1.075681
         840,     1.279322
         880,     1.466433
         920,     1.685211
         960,     2.210884
        1000,     2.156996
        1040,     2.375211
        1080,     2.834211
        1120,     3.157843
        1160,     3.189693
        1200,     3.531740
        1240,     3.914099
        1280,     4.860348
        1320,     4.701058
        1360,     4.988115
        1400,     5.476813
        1440,     6.953389
        1480,     6.789736
        1520,     7.121888
        1560,     7.699720
        1600,     9.672390
