      number,        time
         400,     0.151437
         440,     0.199197
         480,     0.252869
         520,     0.320660
         560,     0.398513
         600,     0.490219
         640,     0.593038
         680,     0.711307
         720,     0.843178
         760,     0.991229
         800,     1.155845
         840,     1.334462
         880,     1.534559
         920,     1.753206
         960,     1.987952
        1000,     2.216966
        1040,     2.463838
        1080,     2.733944
        1120,     3.034531
        1160,     3.350541
        1200,     3.712210
        1240,     4.101372
        1280,     4.539425
        1320,     5.002648
        1360,     5.462175
        1400,     6.274561
        1440,     6.546067
        1480,     7.081684
        1520,     7.664936
        1560,     8.305594
        1600,     8.863222
