      number,        time
         400,     0.351336
         440,     0.462941
         480,     0.599416
         520,     0.759590
         560,     0.946999
         600,     1.162717
         640,     1.410498
         680,     1.689079
         720,     2.009945
         760,     2.310735
         800,     2.650951
         840,     3.027187
         880,     3.437390
         920,     3.891461
         960,     4.387191
        1000,     4.917546
        1040,     5.499200
        1080,     6.123546
        1120,     6.800269
        1160,     7.559702
        1200,     8.384445
        1240,     9.325700
        1280,    10.248775
        1320,    11.212158
        1360,    12.291767
        1400,    13.382526
        1440,    14.545969
        1480,    15.826178
        1520,    17.144209
        1560,    18.528488
        1600,    19.935280
